NCBIGenomeAccession	GenomeName
VGAN00000000	K_DeepCast_100m_m1_278
VGAS00000000	K_DeepCast_1200m_m2_005
VGAU00000000	K_DeepCast_1200m_m2_204
VGAV00000000	K_DeepCast_1200m_m2_272
VGAX00000000	K_DeepCast_150m_m1_051
VGAZ00000000	K_DeepCast_150m_m2_097
VGBA00000000	K_DeepCast_150m_m2_294
VGBH00000000	K_DeepCast_35m_m1_047
VGBI00000000	K_DeepCast_35m_m1_297
VGBJ00000000	M_DeepCast_400m_m1_127
VGBK00000000	M_DeepCast_400m_m2_130
VGBL00000000	K_Offshore_40m_m1_268
VGBM00000000	K_Offshore_40m_m2_012
VGBN00000000	K_Offshore_40m_m2_034
VGBO00000000	K_Offshore_40m_m2_105
