MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_35m_m1_088	6.78	5.98	5.20	6.17	3.71	11.07	3.97	12.46	3.51	0.17	4.89	0.22	3.20	6.27	3.29	3.35	4.92	2.03	1.15	4.04	0.84	5.71	3.14	1.59
K_DeepCast_35m_m1_317	3.67	5.97	3.99	4.71	4.12	8.77	3.48	12.05	5.21	2.48	5.68	4.56	4.64	6.31	3.47	5.74	5.95	3.91	2.66	5.75	1.75	4.67	5.87	3.82
K_DeepCast_250m_m1_044	3.03	5.90	6.11	11.25	9.36	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.77	12.53	11.87	0.00	0.01	0.33	0.00	0.01	0.02	0.00	0.00
K_Offshore_surface_m1_194	4.42	5.86	4.19	5.08	3.94	7.87	3.14	15.18	13.03	0.53	13.94	0.83	12.74	11.77	5.22	8.73	10.11	4.57	3.32	9.53	4.68	6.76	9.33	10.55
K_DeepCast_150m_m2_126	7.50	5.85	9.90	4.81	5.66	0.01	0.06	0.01	0.01	0.07	0.01	0.03	0.01	2.71	7.18	6.72	0.01	0.03	1.76	0.03	0.04	0.12	0.03	0.03
K_DeepCast_35m_m1_297	5.39	5.78	5.24	6.10	4.46	11.62	4.03	11.95	4.97	1.45	7.98	3.55	6.07	6.63	3.70	7.08	8.16	3.82	3.03	5.66	2.60	4.63	8.78	5.79
K_DeepCast_250m_m2_062	2.63	5.70	4.02	9.59	9.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.79	11.17	9.33	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
K_DeepCast_250m_m1_043	5.77	5.69	5.75	13.40	11.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.04	13.30	13.38	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_211	5.99	5.69	4.98	3.02	4.40	0.55	20.02	0.36	0.27	24.20	0.58	35.36	0.47	4.12	5.72	3.50	0.51	15.38	9.52	0.19	0.13	0.20	0.28	0.20
K_DeepCast_150m_m2_272	6.38	5.64	8.86	4.70	6.72	0.01	0.07	0.01	0.01	0.05	0.01	0.05	0.01	2.31	10.68	5.57	0.01	0.04	0.94	0.02	0.02	0.05	0.02	0.01
K_DeepCast_35m_m1_007	4.32	5.62	4.35	4.60	4.30	10.15	3.39	15.45	3.75	0.19	4.69	0.28	5.28	3.68	2.13	2.33	3.94	1.70	1.32	3.36	6.86	3.32	3.94	6.05
M_surface_6_mx_051	10.37	5.61	6.38	6.43	4.56	17.82	8.14	16.53	6.25	6.17	14.45	8.16	12.92	10.14	5.05	6.14	8.03	7.11	5.17	14.46	14.30	18.62	16.84	22.19
K_DeepCast_300m_m2_211	1.23	5.58	2.80	4.59	7.73	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.62	5.18	4.45	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_092	2.93	5.56	3.64	2.56	3.92	0.59	11.36	0.41	0.17	23.80	0.43	56.05	0.19	2.63	2.46	2.51	0.81	12.28	2.94	0.24	0.16	0.16	0.31	0.23
M_DeepCast_200m_m2_085	2.41	5.55	1.90	17.35	10.60	0.09	0.08	0.06	0.07	0.10	0.06	0.10	0.12	0.38	30.61	12.77	0.04	0.07	0.15	0.05	0.07	0.08	0.12	0.04
K_Offshore_80m_m2_176	4.68	5.53	4.74	4.31	4.30	3.29	15.82	3.82	2.60	19.01	3.20	35.69	2.57	4.84	3.78	4.88	2.36	15.31	6.43	1.73	0.91	1.66	1.99	1.36
K_DeepCast_100m_mx_141	16.35	5.52	11.18	2.62	6.09	0.09	2.45	0.08	0.06	2.64	0.07	0.45	0.08	6.72	7.48	2.75	0.05	0.40	27.35	0.06	0.05	0.09	0.07	0.06
M_DeepCast_65m_m2_009	9.82	5.50	4.98	4.89	4.52	6.21	8.36	6.54	4.40	5.79	6.78	6.61	4.74	7.12	5.02	5.25	2.72	4.54	58.82	2.97	1.12	2.42	2.52	1.99
M_DeepCast_65m_m1_226	31.38	5.47	10.59	2.92	5.22	0.01	0.35	0.00	0.00	0.59	0.00	0.02	0.00	9.28	5.75	3.02	0.00	0.04	34.71	0.01	0.01	0.01	0.00	0.00
M_DeepCast_400m_m2_153	0.39	5.46	1.11	5.04	6.40	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.09	4.97	8.82	0.00	0.01	0.03	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_294	5.36	5.37	6.67	5.03	6.34	0.01	0.02	0.02	0.01	0.08	0.02	0.15	0.02	1.57	7.27	5.92	0.02	0.03	0.37	0.02	0.01	0.02	0.04	0.01
M_DeepCast_400m_m2_133	0.42	5.33	1.50	5.01	6.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	3.59	9.06	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m1_165	5.87	5.31	5.54	5.10	5.26	6.43	12.75	3.73	1.38	26.62	2.82	65.60	2.45	7.87	8.89	8.37	4.49	14.52	8.25	0.87	0.81	0.64	2.10	1.40
M_DeepCast_400m_m2_269	2.63	5.21	4.10	7.87	8.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	9.60	10.40	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
