MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_65m_m1_262	0.09	0.03	0.03	0.02	0.04	0.00	0.06	0.00	0.00	0.10	0.00	0.07	0.00	0.03	0.03	0.02	0.00	0.04	0.18	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_mx_060	0.09	0.03	0.07	0.02	0.04	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.03	0.05	0.01	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_097	0.04	0.03	0.04	0.02	0.03	0.00	0.14	0.00	0.00	0.10	0.00	0.07	0.00	0.01	0.04	0.02	0.00	0.06	0.10	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_051	0.02	0.03	0.02	0.02	0.03	0.01	0.06	0.01	0.00	0.10	0.00	0.14	0.00	0.02	0.03	0.03	0.01	0.08	0.07	0.00	0.00	0.00	0.00	0.00
K_DeepCast_35m_m1_264	0.04	0.03	0.05	0.04	0.04	0.08	0.06	0.04	0.03	0.03	0.04	0.05	0.05	0.05	0.07	0.05	0.05	0.03	0.03	0.03	0.03	0.05	0.04	0.03
K_Offshore_surface_m1_273	0.02	0.03	0.03	0.03	0.03	0.05	0.02	0.05	0.06	0.00	0.08	0.00	0.07	0.04	0.02	0.03	0.05	0.02	0.02	0.05	0.04	0.05	0.06	0.04
M_DeepCast_50m_m1_274	0.03	0.03	0.03	0.03	0.03	0.04	0.08	0.03	0.02	0.05	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.09	0.04	0.03	0.06	0.04	0.04	0.05
M_DeepCast_50m_m2_086	0.01	0.03	0.02	0.01	0.02	0.00	0.07	0.00	0.00	0.08	0.00	0.06	0.00	0.01	0.01	0.01	0.00	0.07	0.02	0.00	0.00	0.00	0.00	0.00
M_DeepCast_65m_mx_077	0.19	0.03	0.06	0.03	0.06	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.05	0.06	0.03	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m2_225	0.00	0.03	0.01	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_113	0.11	0.03	0.09	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.02	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m2_341	0.00	0.03	0.01	0.02	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_m2_006	0.02	0.03	0.02	0.01	0.02	0.00	0.11	0.00	0.00	0.12	0.00	0.09	0.00	0.01	0.02	0.02	0.00	0.08	0.09	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_mx_046	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.05	0.08	0.01	0.08	0.01	0.07	0.03	0.02	0.03	0.04	0.02	0.02	0.04	0.04	0.04	0.05	0.04
M_DeepCast_400m_m2_325	0.02	0.03	0.02	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_m2_220	0.00	0.03	0.03	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_m2_035	0.05	0.03	0.03	0.03	0.03	0.06	0.05	0.04	0.02	0.17	0.03	0.06	0.03	0.07	0.05	0.04	0.06	0.07	0.03	0.08	0.24	0.08	0.07	0.08
K_Offshore_120m_m2_146	0.02	0.03	0.02	0.02	0.02	0.00	0.11	0.00	0.00	0.15	0.00	0.15	0.00	0.01	0.02	0.02	0.00	0.08	0.06	0.00	0.00	0.00	0.00	0.00
M_surface_7_m2_032	0.03	0.03	0.03	0.04	0.02	0.06	0.02	0.06	0.05	0.01	0.09	0.02	0.07	0.05	0.02	0.03	0.06	0.02	0.01	0.06	0.10	0.08	0.08	0.07
M_DeepCast_65m_m1_262	0.18	0.03	0.06	0.02	0.05	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.00	0.07	0.05	0.04	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00
M_DeepCast_65m_m2_155	0.04	0.03	0.02	0.01	0.02	0.00	0.08	0.00	0.00	0.11	0.00	0.05	0.00	0.02	0.02	0.02	0.00	0.07	0.20	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_200	0.08	0.03	0.11	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.08	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_100m_m2_305	0.13	0.03	0.08	0.02	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.02	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_mx_231	0.01	0.03	0.03	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_191	0.01	0.03	0.02	0.02	0.03	0.01	0.04	0.01	0.00	0.09	0.00	0.16	0.00	0.02	0.02	0.02	0.01	0.05	0.03	0.00	0.00	0.00	0.00	0.00
M_DeepCast_100m_m2_010	0.03	0.03	0.02	0.03	0.02	0.04	0.04	0.04	0.02	0.08	0.01	0.08	0.02	0.10	0.09	0.08	0.09	0.08	0.07	0.02	0.01	0.01	0.04	0.01
K_Offshore_120m_m2_043	0.01	0.03	0.02	0.01	0.02	0.00	0.06	0.00	0.00	0.11	0.00	0.08	0.00	0.02	0.02	0.02	0.01	0.08	0.05	0.00	0.00	0.00	0.00	0.00
M_DeepCast_65m_m2_266	0.11	0.03	0.03	0.02	0.03	0.00	0.04	0.00	0.00	0.06	0.00	0.02	0.00	0.04	0.03	0.02	0.00	0.02	0.20	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_049	0.21	0.03	0.14	0.08	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.19	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
M_surface_9_m2_137	0.03	0.03	0.02	0.03	0.02	0.07	0.02	0.05	0.02	0.01	0.02	0.01	0.03	0.04	0.03	0.03	0.04	0.02	0.01	0.05	0.11	0.04	0.03	0.08
