Order,Domain,Phylum,Class,Order,Family,Genus,Species,Baikal,Tanganyika,Category
55,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__UBA8137,s__,2,,Only Baikal
56,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus,s__,,1,Only Tanganyika
57,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__ELB16-189,s__,,1,Only Tanganyika
58,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__,g__,s__,,1,Only Tanganyika
59,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__,s__,,1,Only Tanganyika
60,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__UBA952,s__,,6,Only Tanganyika
61,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__Coccinistipes,s__,1,1,Both
62,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,1,,Only Baikal
63,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__NS11-12g,f__,g__,s__,1,,Only Baikal
64,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__NS11-12g,f__UBA955,g__,s__,,2,Only Tanganyika
65,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__NS11-12g,f__UBA955,g__UBA955,s__,2,,Only Baikal
66,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter_A,s__,,1,Only Tanganyika
67,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,s__,,2,Only Tanganyika
68,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__,f__,g__,s__,,1,Only Tanganyika
69,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__Ignavibacteriales,f__Melioribacteraceae,g__,s__,,1,Only Tanganyika
70,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__SJA-28,f__,g__,s__,,1,Only Tanganyika
71,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__,g__,s__,,2,Only Tanganyika
72,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__Kapabacteriaceae,g__UBA10438,s__,,1,Only Tanganyika
73,d__Bacteria,p__Bacteroidota,c__UBA10030,o__,f__,g__,s__,,1,Only Tanganyika
74,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__,g__,s__,2,1,Both
75,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA10030,g__,s__,,1,Only Tanganyika
76,d__Bacteria,p__Bdellovibrionota,c__,o__,f__,g__,s__,1,2,Both
77,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__,f__,g__,s__,,1,Only Tanganyika
78,d__Bacteria,p__Chloroflexota,c__,o__,f__,g__,s__,2,2,Both
79,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__,f__,g__,s__,,4,Only Tanganyika
80,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__,g__,s__,,3,Only Tanganyika
81,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__,s__,,1,Only Tanganyika
82,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__,s__,,3,Only Tanganyika
