MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
M_surface_10_m2_136	Actinobacteria acI-C2	Bacteria	93.5	84.37	67.92	118.62	89.84	66.5	102.86	96.1	102.09	119.94	111.08	96.1	102.09	119.94	111.08	23.69	16	53.72	69.36	42.61	50.93	10.8	39.45	91.34	1052.82	468.9	358.2	74.31	65
M_surface_9_m2_080	Actinobacteria acI-C2	Bacteria	19.66	18.61	14.22	24	17.32	16.03	21.05	21.69	20.47	23.89	25.55	21.69	20.47	23.89	25.55	5.74	3.86	11.81	15.73	9.92	11.89	3.2	9.72	23.51	222.49	101.21	85.76	73.43	49
M_surface_10_m2_076	Actinobacteria acI-C2	Bacteria	4.63	4.96	4	7.12	6.08	3.32	5.15	6.31	4.98	6.32	6.51	6.31	4.98	6.32	6.51	1.26	0.84	3.04	4.48	2.45	2.79	0.32	2.22	5.2	59.38	26.22	20.51	77.47	91
K_DeepCast_1200m_m2_272	Actinobacteria acIII	Bacteria	0.1	0.06	0	0	0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.17	0.3	1.03	2.53	0.01	0.09	0.32	0.24	0.09	4.46	91.81	654
K_Offshore_120m_m1_195	Actinobacteria acIV	Bacteria	121.76	105.1	94.17	123.19	104.17	106.02	153.64	111.71	131.44	193.19	158.97	111.71	131.44	193.19	158.97	55.57	39.74	95.09	118.54	80.05	94.53	47.73	72.66	166.92	1403.35	690.62	675.52	79.6	423
K_Offshore_120m_m1_107	Actinobacteria acIV	Bacteria	22.58	19.63	16.36	22.7	18.73	20.04	27.41	20.74	23.72	35.23	29.52	20.74	23.72	35.23	29.52	41.77	30.61	27.2	27.61	25.23	27.71	66.06	21.86	42.89	256.68	181.59	238.55	24.77	17
M_surface_8_m2_026	Actinobacteria acIV	Bacteria	16.06	12.94	10.2	15.25	12.97	15.93	21.2	14.87	17.36	25.25	22.08	14.87	17.36	25.25	22.08	5.94	4.4	11.84	14.99	10.43	12.04	1.83	8.64	22.46	184.1	89.9	82.24	91.45	42
M_surface_10_m2_188	Actinobacteria acIV	Bacteria	11.66	9.09	7.75	11.7	9.95	11.33	16.13	11.56	12.58	22.38	15.57	11.56	12.58	22.38	15.57	4.17	3.02	9.24	13.09	7.78	9.57	0.9	6.42	15.98	139.7	69.28	62.98	85.47	44
K_Offshore_40m_m2_124	Actinobacteria acIV	Bacteria	1.8	1.45	1.68	2.87	1.98	1.86	2.3	1.41	1.99	2.8	2.7	1.41	1.99	2.8	2.7	0.78	0.62	1.38	1.94	1.23	1.57	0.99	1.41	3	22.84	10.3	11.51	90.6	59
K_Offshore_80m_m1_195	Actinobacteria acIV	Bacteria	0.7	0.84	0.35	0.63	0.87	0.56	0.24	0.06	0.16	0.37	0.15	0.06	0.16	0.37	0.15	1.43	1.15	1.59	1.28	1.26	1.34	2.89	1.76	1.92	4.94	3.32	12.03	96.58	137
M_surface_6_mx_034	Actinobacteria acI-B1	Bacteria	78.86	97.58	26.18	56.02	49.7	51.61	124.18	187.91	110.56	110.76	115.23	187.91	110.56	110.76	115.23	18.17	11.31	47.53	55.42	34.64	42.44	8.72	72.29	76.63	1008.59	553.94	337.67	31.99	61
K_DeepCast_0m_m1_227	Actinobacteria acIV-C	Bacteria	25.98	20.7	11.97	17.75	17.8	17.37	23.25	15.17	19.45	30.31	21.99	15.17	19.45	30.31	21.99	7.32	5.72	20.89	27.72	17.6	24.8	4.12	12.05	26.32	221.73	99.96	133.5	84.62	43
