MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
K_Offshore_80m_m2_139	Betaproteobacteria	Bacteria	0.09	0.09	0.05	0.08	0.06	0.09	0.07	0.05	0.06	0.08	0.07	0.05	0.06	0.08	0.07	0.68	0.39	0.32	0.23	0.3	0.4	1.68	0.28	0.34	0.79	1.33	3.56	88.89	982
K_DeepCast_150m_m1_387	Betaproteobacteria	Bacteria	0.03	0.03	0.03	0.03	0.04	0.03	0.05	0.07	0.08	0.08	0.05	0.07	0.08	0.08	0.05	0.03	4.91	7.45	1.52	2.89	2.61	1.04	2.85	1.48	0.52	5.23	19.84	97.71	121
K_Offshore_80m_m1_178	Betaproteobacteria	Bacteria	0.05	0.05	0.04	0.05	0.04	0.09	0.03	0.03	0.04	0.05	0.04	0.03	0.04	0.05	0.04	3.01	1.82	1.07	0.67	1.14	1.43	6.66	0.9	1.06	0.51	5	12.93	96.56	127
K_Offshore_120m_m2_141	Betaproteobacteria	Bacteria	0.06	0.06	0.03	0.04	0.03	0.07	0.03	0.02	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.99	0.54	0.43	0.28	0.39	0.54	2.87	0.37	0.4	0.42	1.64	5.29	84.1	952
M_DeepCast_100m_m1_373	Betaproteobacteria	Bacteria	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.06	0.11	0.05	0.03	0.06	0.11	0.05	0.03	0.12	14.2	5.48	1.67	3.18	2.57	3.08	3.34	2.6	0.42	14.57	21.92	95.73	118
K_Offshore_80m_m2_043	Betaproteobacteria	Bacteria	0.06	0.05	0.03	0.04	0.03	0.05	0.03	0.02	0.04	0.04	0.03	0.02	0.04	0.04	0.03	0.21	0.16	0.14	0.12	0.15	0.18	0.91	0.14	0.17	0.41	0.49	1.81	73.78	670
K_DeepCast_150m_m2_250	Betaproteobacteria	Bacteria	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.02	0.11	84.87	62.13	15.76	28.51	24.45	5.68	31.02	18.85	0.28	85.09	186.39	84.47	190
M_DeepCast_65m_m2_058	Betaproteobacteria	Bacteria	0.02	0.02	0.01	0.02	0.02	0.02	0.03	0.03	0.05	0.03	0.02	0.03	0.05	0.03	0.02	0.07	0.77	0.31	0.14	0.27	0.23	0.23	0.16	0.16	0.25	0.96	1.5	74.83	1077
M_DeepCast_65m_m2_126	Betaproteobacteria	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.02	6.15	0.55	0.18	0.33	0.37	0.97	0.78	0.6	0.02	6.18	3.78	97.44	44
M_DeepCast_65m_m1_265	Calditrichaeota	Bacteria	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.11	0.52	0.28	0.36	0.27	0.17	0.23	0.19	0.13	1.16	2.03	97.8	214
K_DeepCast_250m_m2_227	Calditrichaeota	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.7	3.92	2.93	2.46	0	4.02	4.31	0.01	0.02	19.34	97.19	294
K_DeepCast_100m_mx_254	Calditrichaeota	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0.47	0.14	0.15	0.12	0.01	0.29	0.16	0	0.48	1.35	81.39	1303
M_DeepCast_400m_m2_340	Calditrichaeota	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.57	0.94	0.69	0	0.38	1.41	0	0	4.04	57.03	444
K_DeepCast_35m_m2_096	Chlamydiae	Bacteria	4.28	3.79	1.29	2.28	1.71	1.56	2.05	1.06	1.67	2.14	1.44	1.06	1.67	2.14	1.44	0.55	0.33	1.85	2.06	1.71	2.24	0.64	1.3	2.01	23.27	7.2	11.82	88.51	28
K_DeepCast_35m_m2_204	Chlamydiae	Bacteria	2.32	2	0.35	0.62	0.49	0.73	1.04	0.74	0.84	1.12	0.67	0.74	0.84	1.12	0.67	0.27	0.16	0.97	1.14	0.89	1.25	0.19	0.62	0.95	10.92	3.8	6.01	87.16	51
K_DeepCast_35m_m1_012	Chlamydiae	Bacteria	2.31	2.34	0.22	0.44	0.4	0.28	0.42	0.94	0.41	0.49	0.41	0.94	0.41	0.49	0.41	0.1	0.06	1.19	1.4	1.09	1.62	0.14	0.41	0.35	8.68	2.43	6.19	93.24	55
M_surface_9_m2_137	Chlamydiae	Bacteria	0.9	1.11	0.25	0.36	0.44	0.45	0.76	1.11	0.54	0.51	1.21	1.11	0.54	0.51	1.21	0.18	0.12	0.52	0.59	0.45	0.58	0.13	0.55	0.65	7.63	3.67	3.46	89.23	355
M_surface_7_m1_001	Chlamydiae	Bacteria	0.6	0.77	0.21	0.24	0.3	0.33	0.83	0.46	0.84	0.91	0.41	0.46	0.84	0.91	0.41	0.14	0.11	0.34	0.45	0.32	0.43	0.06	0.44	0.53	5.91	2.87	2.58	89.3	191
K_DeepCast_35m_m1_073	Chlamydiae	Bacteria	0.68	0.68	0.17	0.32	0.24	0.33	0.46	0.34	0.38	0.56	0.38	0.34	0.38	0.56	0.38	0.15	0.09	0.36	0.41	0.32	0.44	0.1	0.32	0.46	4.56	1.9	2.4	57.58	275
M_DeepCast_50m_m2_029	Chlamydiae	Bacteria	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.74	0.29	0.2	0.12	0.2	0.3	0.86	0.2	0.22	0.11	1.07	2.1	76.45	434
M_DeepCast_50m_m2_194	Chlamydiae	Bacteria	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.65	0.4	0.26	0.15	0.19	0.33	1.04	0.17	0.22	0.03	1.06	2.37	60.59	330
M_DeepCast_50m_m2_212	Chlamydiae	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.13	0.11	0.08	0.11	0.19	0.56	0.12	0.14	0.02	0.73	1.31	38.38	225
K_Offshore_120m_m2_055	Chlamydiae	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.08	0.06	0.04	0.06	0.09	1.7	0.08	0.09	0.02	0.34	2.12	80.11	361
M_DeepCast_65m_m2_268	Chlorobi	Bacteria	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87	79.06	13.89	29.36	26.17	0.13	11.56	6.07	0.02	2.88	166.25	99.45	47
K_DeepCast_1200m_m2_283	Chlorobi	Bacteria	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	40.9	7.03	13.3	9.23	0.01	12.89	3.4	0.02	0.65	86.76	97.79	100
M_surface_10_mx_194	Chloroflexi	Bacteria	31.3	28.1	21.61	30.68	26.28	23.64	35.42	25.64	30.21	42.15	35.25	25.64	30.21	42.15	35.25	12.22	8.79	22.72	27.4	18.56	22.82	11.22	18.63	34.68	330.27	154.25	156.04	14.08	517
M_surface_10_mx_126	Chloroflexi	Bacteria	1.12	1.07	0.71	1.06	0.93	0.84	1.16	0.82	0.9	1.26	1.05	0.82	0.9	1.26	1.05	0.61	0.43	0.89	1.01	0.71	0.94	0.84	0.82	1.28	10.93	5.06	6.48	22.59	1210
K_Offshore_surface_m1_220	Chloroflexi	Bacteria	0.43	0.46	0.59	0.51	0.79	0.27	0.31	0.2	0.36	0.4	0.24	0.2	0.36	0.4	0.24	0.15	0.11	0.33	0.33	0.19	0.33	0.02	0.34	0.35	4.56	1.45	1.89	94.03	383
K_DeepCast_300m_mx_197	Chloroflexi	Bacteria	0.44	0.53	0.33	0.54	0.51	0.35	0.35	0.24	0.36	0.37	0.35	0.24	0.36	0.37	0.35	0.39	0.27	0.97	1.23	1.37	1.22	0.98	1.42	1.57	4.36	1.99	8.76	35.66	2500
K_DeepCast_300m_mx_124	Chloroflexi	Bacteria	0.33	0.38	0.19	0.37	0.35	0.23	0.35	0.6	0.33	0.39	0.43	0.6	0.33	0.39	0.43	0.53	0.38	0.79	1.23	1.51	1.25	1.23	1.59	1.48	3.95	2.65	9.08	8.39	1104
M_DeepCast_50m_m2_018	Chloroflexi	Bacteria	0.2	0.68	0.05	0.18	0.13	0.51	0.05	0.08	0.02	0.13	0.1	0.08	0.02	0.13	0.1	12.53	8.48	6.69	5.1	4.64	5.14	52.25	7.64	6.35	2.13	21.35	87.8	96.7	102
K_Offshore_80m_m2_197	Chloroflexi	Bacteria	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.19	0.07	0.13	0.1	0.15	0.17	0.75	0.08	0.12	0.22	0.34	1.5	89.35	371
K_Offshore_80m_m2_183	Chloroflexi	Bacteria	0.02	0.04	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.12	0.07	0.08	0.09	0.11	0.11	1.02	0.07	0.11	0.16	0.23	1.59	90.26	85
K_Offshore_120m_m2_146	Chloroflexi	Bacteria	0.02	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	1.02	0.57	0.47	0.33	0.4	0.61	3.06	0.42	0.42	0.16	1.63	5.72	97.69	91
K_Offshore_80m_m2_034	Chloroflexi	Bacteria	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.04	0.08	0.08	0.09	0.09	0.91	0.07	0.08	0.15	0.17	1.37	94.72	106
K_Offshore_80m_m2_170	Chloroflexi	Bacteria	0.02	0.02	0	0.02	0	0.03	0	0	0	0.01	0	0	0	0.01	0	0.41	0.25	0.24	0.18	0.29	0.41	2.51	0.17	0.23	0.12	0.68	4.02	90.26	275
K_Offshore_80m_m2_174	Chloroflexi	Bacteria	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.36	0.15	0.17	0.1	0.18	0.24	0.92	0.14	0.14	0.11	0.54	1.89	49.54	1047
K_Offshore_80m_m1_189	Chloroflexi	Bacteria	0.01	0.02	0	0.01	0	0.04	0	0.01	0	0	0	0.01	0	0	0	1.29	0.9	0.6	0.37	0.66	0.95	4.7	0.4	0.51	0.1	2.21	8.17	97.69	171
K_Offshore_120m_m2_037	Chloroflexi	Bacteria	0	0.01	0	0.01	0	0.04	0	0	0	0	0	0	0	0	0	2.24	1.33	0.89	0.59	1.02	1.67	4.84	0.63	0.96	0.09	3.59	10.61	95.05	375
K_Offshore_80m_m1_179	Chloroflexi	Bacteria	0.01	0.02	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0.13	0.07	0.11	0.09	0.11	0.15	0.46	0.09	0.09	0.09	0.22	1.1	88.45	1109
K_Offshore_80m_m2_157	Chloroflexi	Bacteria	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0	0	0	0.01	0	0	0	0.24	0.11	0.1	0.08	0.12	0.15	0.75	0.07	0.12	0.07	0.37	1.39	78.83	313
K_DeepCast_65m_m1_015	Chloroflexi	Bacteria	0	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0.01	0.48	0.17	0.24	0.16	0.19	0.28	0.62	0.2	0.17	0.07	0.68	1.85	57.24	695
M_DeepCast_50m_m2_054	Chloroflexi	Bacteria	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.43	1.02	0.41	0.29	0.45	0.75	2.25	0.3	0.55	0.07	2.47	5.01	88.48	257
K_DeepCast_65m_m2_033	Chloroflexi	Bacteria	0	0.01	0	0.01	0.01	0.02	0	0	0	0	0	0	0	0	0	1.77	0.45	0.86	0.51	0.64	1.07	3.49	0.62	0.5	0.06	2.23	7.69	96.7	111
K_Offshore_80m_m1_004	Chloroflexi	Bacteria	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.04	0.02	0.09	0.08	0.12	0.1	0.26	0.07	0.06	0.04	0.07	0.79	81.08	493
K_Offshore_80m_m2_218	Chloroflexi	Bacteria	0	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.71	0.45	0.43	0.29	0.41	0.57	2.26	0.32	0.33	0.03	1.17	4.61	97.03	86
K_Offshore_80m_m2_079	Chloroflexi	Bacteria	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.12	0.04	0.09	0.08	0.08	0.08	1.48	0.09	0.07	0.03	0.16	1.97	99.67	133
K_Offshore_80m_m2_084	Chloroflexi	Bacteria	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.34	0.07	0.17	0.13	0.16	0.19	1.37	0.13	0.12	0.02	0.42	2.27	96.7	83
K_DeepCast_150m_m2_126	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.15	1.56	0.76	0.89	0.92	0.01	1.13	1.06	0.02	0.17	6.35	73.99	737
M_DeepCast_200m_mx_261	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.66	0.84	0.55	0.35	0	1.35	0.62	0.02	0.01	4.36	35.71	1018
M_DeepCast_100m_mx_312	Chloroflexi	Bacteria	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.74	46.22	85.67	98.08	95.5	0.02	96.99	99.14	0.02	0.75	521.6	70.79	645
M_DeepCast_65m_m2_156	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.89	0.51	0.15	0.27	0.24	0.04	0.53	0.2	0.01	0.9	1.95	84.41	629
K_DeepCast_150m_m2_071	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	1.82	0.43	0.57	0.57	0.02	1.06	0.46	0.01	0.29	4.95	89.77	421
M_DeepCast_100m_mx_191	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1.02	1.55	1.81	1.67	0	1.82	2.08	0.01	0.02	9.96	58.25	1067
K_DeepCast_150m_m1_063	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	2.67	2.94	3.14	2.99	0	3.6	3.4	0.01	0.04	18.73	80.86	328
K_DeepCast_250m_mx_116	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	2.07	4.09	4.46	3.53	0	4.74	5.13	0.01	0.03	24.03	79.04	329
K_DeepCast_250m_m2_061	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	4.72	4.64	4.55	4.13	0	7.24	4.56	0.01	0.17	29.86	95.91	533
K_DeepCast_100m_m2_203	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	2.44	0.7	1.09	1.05	0.09	1.79	0.63	0.01	1.58	7.79	93.64	128
K_DeepCast_250m_m2_317	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	7.27	12.35	13.89	15.02	0	15.93	18	0.01	0.11	82.45	90.45	414
K_DeepCast_250m_m1_199	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	14.28	6.31	4.66	3.85	0	14.62	3.5	0.01	0.32	47.21	90.52	322
M_DeepCast_200m_m2_194	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18	1.15	1.17	0.75	0	2.2	1.39	0.01	0.01	7.83	91.75	345
K_DeepCast_100m_m2_305	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	1.57	0.49	0.65	0.6	0.01	1.15	0.46	0.01	0.56	4.94	92.73	435
K_DeepCast_150m_m2_167	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	1.48	0.28	0.52	0.45	0.01	0.63	0.29	0	0.18	3.66	75.96	503
M_DeepCast_65m_m1_226	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86	1.67	0.46	0.82	0.86	0.09	0.91	0.48	0	2.86	5.3	94.55	150
M_DeepCast_200m_mx_194	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	2.45	6.4	6.77	5.5	0	7.38	7.53	0	0.03	36.03	91.25	307
K_DeepCast_1200m_m1_255	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	1.6	2.11	2.65	2.97	0.02	2.85	2.8	0	0.04	15	79.91	1198
K_DeepCast_250m_m1_342	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	3.81	4.05	3.21	2.5	0	5.98	2.98	0	0.08	22.53	89.09	168
M_DeepCast_400m_m2_020	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	2.1	2.38	1.7	0	1.92	3.57	0	0.01	12.46	92.61	115
M_DeepCast_400m_m2_351	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.76	1.59	1.66	1.63	0	1.86	2.02	0	0.01	9.53	61.13	1166
K_DeepCast_100m_m1_286	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	1.42	0.58	0.6	0.52	0.01	1.37	0.44	0	0.06	4.94	46.72	1157
M_DeepCast_400m_m2_207	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.7	3.43	6.56	7.2	0	2.71	9.59	0	0.01	30.2	94.72	20
K_DeepCast_100m_m2_152	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	4.22	5.18	5.35	4.95	0	6.47	6.57	0	0.05	32.73	85.17	321
K_DeepCast_100m_m1_112	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	5.23	5.4	6.13	5.71	0	7.32	6.62	0	0.07	36.41	72.28	270
M_DeepCast_200m_m1_335	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.47	0.64	0.71	0.69	0	0.81	0.78	0	0.01	4.11	88.28	267
K_DeepCast_150m_m2_267	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	1.73	1.38	1.51	1.25	0	2.35	1.55	0	0.05	9.79	47.98	371
K_DeepCast_1200m_m1_340	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	2.33	3.14	3.43	3.46	0	3.85	3.86	0	0.03	20.07	81.85	399
K_DeepCast_250m_m2_195	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.51	1.98	1.8	1.66	0	2.14	2	0	0.02	11.08	83	313
M_DeepCast_200m_m1_116	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.85	0.88	1.23	1.28	0	1.38	1.23	0	0.01	6.85	31.89	507
K_DeepCast_250m_m2_143	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1	3.85	4.69	4.26	0	3.9	6.36	0	0.01	24.07	91.75	159
M_DeepCast_400m_m2_027	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.54	1.3	1.32	1.04	0	1.43	1.52	0	0.01	7.16	93.53	273
K_DeepCast_150m_m2_048	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.29	0.52	0.49	0.37	0	1.54	0.44	0	0.03	4.65	64.91	620
M_DeepCast_200m_m1_174	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	1.13	0.7	0.29	0	1.45	0.8	0	0	4.98	32.98	254
M_DeepCast_200m_m2_208	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1.58	4.46	4.63	3.41	0	4.51	4.8	0	0.01	23.39	89.57	84
M_DeepCast_400m_m1_178	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.54	1.11	1.28	0	0.5	1.5	0	0	5.17	36.47	239
K_DeepCast_150m_m1_015	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.33	1.53	1.66	1.5	0	1.9	1.79	0	0.02	9.71	86.3	257
M_DeepCast_400m_m2_252	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.62	0.75	0.75	0.75	0	0.84	0.92	0	0.01	4.63	74.69	436
K_DeepCast_300m_m2_134	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.47	0.68	0.77	0.7	0	0.78	0.77	0	0.01	4.16	37.62	147
M_DeepCast_400m_m2_044	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0.3	0.3	0.3	0	0.32	0.36	0	0	1.79	80.36	169
K_DeepCast_250m_m1_047	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.65	0.86	0.83	0.79	0	0.97	0.95	0	0.01	5.06	75.91	194
M_DeepCast_400m_m2_269	Chloroflexi	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.65	1.24	1.33	0.82	0	1.52	1.64	0	0.01	7.2	52.44	306
K_DeepCast_150m_m1_388	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.05	3.76	3.15	2.91	2.14	0.01	4.42	3.82	0.01	0.06	20.19	91.11	298
K_DeepCast_1200m_m2_098	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.93	1.78	1.83	1.69	0	1.95	2.63	0	0.03	10.81	84.97	1041
K_DeepCast_250m_m1_044	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.96	1.78	1.48	0.93	0	1.98	1.87	0	0.03	9.01	82.07	897
M_DeepCast_400m_m2_293	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.41	1.05	1.35	1.12	0	1	1.99	0	0.01	6.92	80.1	542
M_DeepCast_400m_m2_244	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.29	0.55	0.54	0.4	0	0.54	0.84	0	0.01	3.17	81.88	434
M_DeepCast_400m_m2_133	CP Aminicemantes (OP8)	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.79	1.05	0.84	0	0.57	1.43	0	0.01	4.91	50.71	523
K_DeepCast_1200m_m1_317	CP BRC1	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.13	0.44	1.5	0	0.12	0.93	0.02	0.01	3.16	63.33	1117
K_DeepCast_150m_m1_344	CP Eisenbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	5.3	4.86	5.08	2.66	0.01	7.74	5.02	0.01	0.21	30.67	97.8	172
M_DeepCast_400m_m2_100	CP Eisenbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.71	1.25	1.64	1.1	0	1.99	2.27	0.01	0.04	9.96	92.24	610
M_DeepCast_400m_m1_028	CP Eisenbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	2.85	6.41	8.22	5.84	0	5.99	12.12	0.01	0.05	41.44	96.7	102
K_DeepCast_250m_m1_333	CP Eisenbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	2.61	3.61	3.85	2.26	0	4.4	4.57	0.01	0.05	21.29	88.71	373
M_DeepCast_400m_m1_172	CP Fraserbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1.16	1.1	1.11	0.91	0	1.52	1.65	0	0.01	7.45	47.7	317
K_DeepCast_250m_m1_078	CP Gottesmanbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.4	3.02	2.83	2.43	0	2.79	3.22	0	0.02	15.69	60.34	311
M_DeepCast_400m_m2_153	CP Gribaldobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.8	1.01	0.86	0	0.78	1.39	0	0	5.02	52.62	170
K_Offshore_80m_m1_122	CP Handelsmanbacteria	Bacteria	0.02	0.08	0	0.01	0	0.09	0	0	0	0.02	0	0	0	0.02	0	0.22	0.17	0.25	0.23	0.26	0.26	1.55	0.42	0.45	0.23	0.41	3.43	88.96	760
K_DeepCast_65m_m1_133	CP Handelsmanbacteria	Bacteria	0	0.02	0	0.01	0	0.05	0	0	0	0	0	0	0	0	0	2.07	0.76	0.61	0.46	0.43	0.79	5.47	0.69	0.72	0.09	2.84	9.17	96.7	248
K_Offshore_120m_m1_041	CP Harrisonbacteria	Bacteria	0.04	0.05	0.02	0.11	0.06	0.06	0.02	0.05	0.02	0.03	0.04	0.05	0.02	0.03	0.04	2.87	1.06	0.92	0.48	0.64	1.15	8.52	0.63	0.8	0.48	4.06	13.15	73.84	12
M_DeepCast_65m_m2_204	CP Hydrogenedentes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.63	0.16	0.07	0.12	0.07	0.02	0.17	0.1	0.01	0.64	0.72	55.88	1034
M_DeepCast_65m_mx_099	CP Kaiserbacteria	Bacteria	0.33	0.27	0.21	0.27	0.22	0.19	0.18	0.13	0.16	0.21	0.13	0.13	0.16	0.21	0.13	0.38	5.11	3.07	1.05	1.62	1.62	1.28	1.81	1.19	2.3	6.12	11.64	63.08	281
M_DeepCast_65m_m1_095	CP Kaiserbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1.43	0.17	0.07	0.12	0.17	0.06	0.13	0.17	0	1.45	0.88	62.22	50
M_DeepCast_50m_m2_187	CP Liptonbacteria	Bacteria	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	2.71	0.73	0.5	0.4	0.41	0.7	5.55	0.6	0.85	0.03	3.45	9.02	77.27	14
K_DeepCast_150m_m2_305	CP Moranbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	1.75	0.34	0.45	0.37	0	0.39	0.24	0	0.06	3.54	66.29	105
K_DeepCast_250m_m1_236	CP Nealsonbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	1.04	2.51	1.83	1.29	0.06	2.37	2.15	0	0.07	11.25	54.04	89
M_DeepCast_400m_m2_122	CP Nealsonbacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	1.54	1.89	1.28	0	1.06	2.51	0	0	8.44	53.09	121
