MAG	Taxonomy	Domain	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_150m_m2_121	Micrarchaeota	Archaea	5.402293443	3.63392541	9.865042623	6.815211475	5.451033607	0	0.002209836	0	0.000610656	0.001385246	0	0	0	1.082564754	10.23053525	4.489051639	0	0.00045	0.152355738	0	0	0.003739344	0.000759016	0.000810656
K_Offshore_40m_m1_111	Verstraetaerchaeota	Archaea	1.989763528	0.268918735	0.69185713	1.546232408	0.324683613	1.913253209	0.670371452	0.386867121	0.099707771	0.795286534	14.07056995	5.665976916	3.658682743	5.841218273	5.398295961	1.589542469	6.975201503	1.988166344	2.841760227	1.797024026	2.187407873	7.312492526	5.187752706	4.621739365
K_Offshore_surface_mx_199	Cyanobacteria	Bacteria	243.8901136	118.6510024	132.2795954	142.8689862	89.56900374	585.3185382	129.8739033	402.4905207	131.7938246	83.48189319	307.2690547	130.5614765	312.6997881	407.2637914	240.1832305	228.010758	307.1322771	132.9317523	68.62325011	666.6724919	1337.651275	627.8369123	571.1773521	647.8395297
K_Offshore_surface_mx_266	Cyanobacteria	Bacteria	237.9311	78.710525	240.2996875	174.8278	79.08705	608.07495	709.269475	94.477725	14.0047375	376.2168125	409.9800375	818.51825	384.662725	139.9399875	148.1550375	95.248025	132.338225	88.5955375	49.3835125	135.9180125	201.0204625	555.256175	161.2165	307.1133
K_Offshore_40m_mx_246	Cyanobacteria	Bacteria	17.0203	21.5087	18.9296	17.12095	16.2404	52.8406	13.86485	58.0473	28.7194	5.66775	33.05945	15.43695	62.51995	23.332	12.1055	10.98685	22.9028	9.0361	6.7195	41.2777	104.6002	25.2186	24.66805	53.83965
M_DeepCast_400m_m2_330	Cyanobacteria	Bacteria	16.76023648	13.78113291	14.82777653	14.73853622	9.758272959	43.69893265	13.27143112	39.09967372	22.02449923	2.858157908	31.37421276	4.561036224	32.56143316	27.52212423	16.42892219	15.14393827	27.77866224	8.62867551	8.574258418	37.78608316	33.54336378	31.12555485	27.14850893	32.33276327
M_DeepCast_100m_mx_041	Cyanobacteria	Bacteria	21.11428888	9.001436527	10.32671275	11.55658281	7.312203593	42.67679127	9.196837981	36.36764979	12.97563567	3.691668948	32.27446099	5.297021557	35.88685175	26.4079166	13.65890847	14.159155	20.03410736	7.984258084	5.532661591	38.8597124	46.84161069	35.27776715	43.3699645	31.0428195
M_surface_10_mx_073	Cyanobacteria	Bacteria	20.55788681	7.622450049	10.0255493	9.872462066	7.219937967	33.82391916	10.54647447	32.61506713	9.059890289	7.108296525	24.27266285	7.586890841	55.23583586	19.96339484	12.7878799	10.54102121	18.38139058	8.286345534	3.768158103	41.84445775	83.70916967	33.5206242	31.50187977	33.99348204
M_DeepCast_200m_mx_047	Cyanobacteria	Bacteria	20.0552241	9.78113491	10.53541027	11.57055238	7.787796688	41.90530943	8.877872085	32.53012494	12.62804674	5.120737749	28.2039197	6.782288341	28.46320324	28.4781513	17.93740828	15.81742558	20.96721724	8.558132849	4.926961136	46.58584535	78.98550297	40.9498783	42.58538895	42.357561
M_surface_9_mx_081	Cyanobacteria	Bacteria	13.75555016	3.920271502	5.985798978	5.957250927	4.208459808	20.68146083	5.739429393	21.68952716	5.502545751	2.009822236	16.0196885	3.108107732	44.92305981	11.09930556	7.281254185	5.589053163	11.46097029	3.445904026	1.815315655	26.0703839	51.83353438	20.01484492	19.89416965	20.96506262
